id_estudiante,t1,t2,t3,t4,t5,t6,r1,r2,r3,r4,r5,r6,p1,p2,p3,p4,p5,p6,op1,op2,op3,op4,op5,op6,score_a,score_p,score_d,score_s
216,151.9250414,68.87676,184.0490553,47.810339,44.330071,63.348238,1,1,2,1,1,1,12,4,9,2,3,5,0,0,1,1,1,1,4,4,1,2
217,31.18092033,47.5307383,125.8922237,46.279584,73.923762,41.2077383,1,1,2,1,2,1,2,3,4,4,6,3,1,0,0,0,0,0,4,4,1,2
218,48.95157267,114.8441373,218.702312,80.660985,105.2618607,40.689853,2,4,5,3,4,2,8,36,57,13,17,10,1,1,1,1,1,1,5,2,2,3
219,103.9187134,302.8879666,98.3808667,237.1085933,47.2133534,28.4100066,1,11,2,3,1,1,24,64,21,14,5,7,0,1,1,0,0,0,4,2,3,3
220,23.72727434,31.10118533,171.5611253,59.677018,54.758124,37.450286,1,1,3,1,2,1,3,3,15,6,4,5,1,1,0,0,0,0,5,3,3,3
221,27.12896134,67.50687033,73.2128253,36.339469,22.641252,48.569401,1,2,1,1,1,2,1,4,5,2,2,4,1,1,1,1,1,1,5,2,4,3
222,112.1360743,108.185484,422.4904713,61.051111,54.684248,104.751857,13,2,4,1,1,2,35,3,8,1,1,3,1,1,0,1,0,1,4,3,2,3
223,108.4761596,55.833465,64.7381824,41.19859,57.754676,83.5495673,3,2,1,1,2,1,5,8,9,2,6,6,0,1,1,1,0,0,6,5,4,3
224,109.982146,50.8387547,52.14933,36.782946,25.866375,85.949068,1,1,1,1,1,1,17,12,22,11,11,29,0,1,0,0,0,0,3,2,1,2
225,110.872133,39.135361,266.613542,29.2179233,22.917788,31.234943,3,2,7,1,1,1,6,7,40,4,3,7,0,1,1,1,1,1,3,4,1,2
226,100.8339436,34.778361,261.9048997,65.021909,62.5209973,99.4001114,3,1,3,1,1,2,21,3,32,4,3,7,1,1,0,0,0,1,4,1,3,3
227,71.26904103,74.697743,107.2280906,32.6655724,44.5241833,44.2231593,2,2,2,1,1,2,5,15,12,2,3,5,1,0,1,1,1,1,4,4,1,2
228,81.5250296,93.928366,113.4843697,49.248216,76.506479,53.499526,1,1,1,1,2,1,9,14,6,3,8,6,0,0,0,1,1,0,5,5,0,1
229,177.2322723,115.9073224,87.2776533,79.6475363,198.6165297,50.616399,5,5,1,2,10,1,22,10,4,6,45,6,1,1,0,0,0,0,5,3,3,3
230,30.52612033,24.6941,86.9960653,56.386647,34.358571,158.945722,1,1,1,1,1,2,2,4,15,7,4,12,1,1,1,1,1,0,5,5,0,1
231,113.2569587,85.3808526,66.2894884,44.4146976,38.6856667,46.0133083,1,1,1,1,1,1,23,10,18,10,5,7,1,1,0,0,0,1,3,3,2,2
232,76.10832733,35.2903213,180.716931,30.8083174,24.6767423,30.6750047,1,1,4,1,1,1,12,7,49,10,5,8,1,1,0,0,0,0,4,2,2,3
233,123.8584866,100.4999017,643.4624643,93.8243313,60.407054,160.924077,1,1,4,1,1,1,15,9,90,9,7,7,0,0,0,0,0,0,2,2,2,2
234,46.06221133,104.7214074,123.8224186,62.36033,70.5600446,165.9004197,1,2,1,1,1,3,2,6,5,3,4,10,0,1,1,1,0,0,6,3,3,3
235,137.910828,57.356431,151.9749036,124.57964,89.018722,108.225278,5,1,1,2,2,1,10,5,11,15,9,7,1,1,0,0,0,1,3,4,2,1
236,146.527476,34.81323,162.3622826,106.0791454,35.6079133,32.9140137,4,1,2,2,1,1,47,5,14,13,6,3,0,1,0,0,0,1,5,4,2,3
237,229.0167137,84.413281,292.2486853,123.5387943,99.46022,234.2288447,1,1,2,1,1,1,20,9,26,9,7,6,0,1,0,0,0,1,1,1,0,1
238,57.29629603,47.896859,101.3438933,106.410178,108.110059,151.840697,1,1,1,1,2,3,10,7,28,7,4,10,0,1,0,0,0,0,4,1,2,2
239,125.1940037,72.313216,113.0112473,35.648292,24.598884,33.76506,3,2,2,1,1,1,4,6,11,3,2,3,0,1,0,1,1,1,7,3,4,3
240,45.49208534,109.2506736,78.5557457,78.5057273,31.8126504,23.6050613,1,2,1,2,1,1,6,27,15,21,4,3,1,1,1,0,1,1,7,5,4,3
241,116.968329,78.684629,312.0377504,74.284441,59.700775,47.300656,1,1,4,1,1,1,21,17,49,17,15,10,0,0,1,0,0,1,6,2,2,1
242,33.305423,111.678944,153.514871,42.4856,56.014366,40.919488,1,2,1,1,2,1,1,3,7,2,3,3,1,1,0,1,1,0,4,3,3,3
243,83.936001,83.519478,236.743228,56.4210337,47.4384054,44.931081,7,1,4,1,2,1,36,16,53,10,12,10,1,0,1,0,1,0,5,5,2,3
244,68.51971833,1092.3325,131.888257,116.281134,76.482794,84.612833,1,6,1,1,1,2,3,37,6,2,2,5,0,1,1,1,1,1,3,3,2,2
245,195.7116534,54.75572,73.01286,47.9975333,105.58674,77.51294,1,1,1,1,3,1,32,9,8,8,16,7,0,0,0,0,0,0,6,4,4,3
246,95.1837897,383.572221,174.9849423,92.3974063,99.138469,167.5943977,1,10,1,1,1,3,1,14,4,2,2,5,1,1,0,1,0,1,6,4,3,3
247,176.5353076,56.7485919,99.5534261,74.3061395,32.3849204,67.8030602,2,1,1,1,1,2,25,11,9,3,3,7,0,1,1,1,1,1,4,3,1,2
248,37.30993233,23.60456767,72.5833393,21.000433,20.633131,40.0977564,1,1,1,1,1,1,11,10,16,12,8,15,1,1,0,0,1,0,5,4,3,3
249,165.8312074,98.083852,111.285902,61.0206756,177.153928,46.4351914,3,3,1,1,1,1,30,19,19,9,13,8,1,1,0,1,0,1,3,1,2,1
250,103.9555797,22.575064,122.9788343,99.470097,37.1304324,48.8514613,9,1,3,2,1,2,36,9,42,34,7,15,1,1,0,0,0,0,2,3,1,2
251,26.340924,45.4168493,97.082509,40.968647,27.540049,58.1293464,1,1,1,1,1,1,8,10,22,15,15,15,1,0,0,0,0,0,2,1,2,2
252,48.08114833,105.295143,84.0960987,42.4647066,36.4149754,45.924605,1,1,1,1,1,10,1,6,9,6,4,5,1,0,0,1,0,0,4,3,2,3
253,63.99968667,120.2880733,70.87292,62.6099,52.81444,83.4034867,3,2,1,1,1,2,4,12,14,2,2,4,1,1,1,1,1,1,4,3,2,2
254,70.0813024,58.696902,450.794297,122.0606533,73.8119827,40.4150626,1,1,3,3,2,1,13,7,27,7,17,6,0,1,0,0,0,0,5,4,2,3
255,44.5746764,40.340479,85.848713,61.877646,48.6421163,28.288452,1,1,1,1,2,1,1,6,12,8,5,5,1,1,0,0,1,1,6,4,4,3
256,408.1323334,69.521,358.425,276.1360003,49.336,41.954,2,1,4,5,1,2,2,13,81,44,11,14,1,1,0,0,0,1,3,2,2,1
257,35.48870197,241.2791117,112.2762963,50.4741597,45.057713,61.408144,1,4,1,1,1,1,1,18,4,3,3,4,1,1,1,1,1,0,5,3,3,3
258,45.983764,93.05143697,294.7427094,35.329751,42.932583,124.512832,1,2,4,1,1,2,1,6,5,1,1,4,1,1,0,1,0,0,4,3,3,3
259,133.076896,58.526033,55.8754763,143.014911,30.980668,61.827972,2,2,1,4,1,2,19,16,20,33,12,24,0,0,0,0,0,0,4,5,1,2
260,23.88919,39.111674,66.08190033,81.9229713,37.064026,56.302367,1,1,1,2,1,1,2,5,8,5,4,8,0,0,1,0,0,0,3,4,2,3
261,40.50395,50.1631223,78.5790834,50.63228,50.3128143,41.9472594,1,1,1,1,1,1,4,8,12,5,5,10,0,1,1,1,1,1,3,3,2,2
262,44.78968333,30.7879673,50.8405277,22.2696043,18.6187554,38.675363,1,1,1,1,1,1,10,11,14,14,8,3,1,1,1,1,1,1,4,3,1,1
263,74.29605333,48.764065,105.2443173,68.112973,31.214986,34.598138,1,1,1,2,1,1,9,10,14,16,13,11,1,1,0,1,0,0,3,2,1,2
264,148.66387,60.5878313,296.7023383,118.0477087,25.935561,48.0685287,1,1,4,3,1,1,7,5,17,10,2,4,0,1,0,1,1,0,8,4,4,3
265,159.46586,17.71478,27.2262334,27.40818,21.14474,33.86638,3,1,1,2,1,1,45,14,24,17,16,19,1,0,0,1,0,0,5,4,4,2
266,198.6338027,116.739246,271.8163123,138.0801113,94.960211,71.7392537,3,2,2,1,1,1,5,6,16,3,4,3,1,0,0,0,0,0,5,2,3,3
267,26.957887,98.45005033,328.6218373,196.683422,32.571986,35.521196,1,2,3,3,1,1,1,3,16,18,2,3,1,1,0,0,1,1,2,3,2,2
268,60.57926,132.289184,105.1474874,74.508127,74.257849,103.914404,1,3,1,1,1,19,5,23,6,4,1,5,1,1,0,1,0,0,6,5,3,3
