rut,programa,hito1,hito2,hito3,hito4,exitosos,fallidos,ejercicios_hito1,ejercicios_hito2,ejercicios_hito3,ejercicios_hito4,sol1,sol2,sol3,sol4
595,INGENIERIA CIVIL INDUSTRIAL,10,0,0,0,6,10,:25:17:4:26:29:23,,,,1.0,,,
596,INGENIERIA EN COMPUTACION E INFORMATICA,3,0,0,0,3,13,:25:17:4,,,,1.0,,,
597,INGENIERIA CIVIL INDUSTRIAL,12,0,0,0,7,9,:25:17:4:26:29:23:0,,,,1.0,,,
598,INGENIERIA INDUSTRIAL,6,0,0,0,4,27,:25:17:26:32,,,,1.0,,,
599,INGENIERIA CIVIL INDUSTRIAL,0,0,0,0,0,0,,,,,1.0,,,
600,INGENIERIA CIVIL INDUSTRIAL,0,0,0,0,0,0,,,,,1.0,,,
601,ED. CONTINUA - ECONOMIA Y NEG,12,0,0,0,7,24,:25:17:4:26:29:23:0,,,,1.0,,,
602,INGENIERIA INDUSTRIAL,0,0,0,0,0,0,,,,,1.0,,,
603,INGENIERIA CIVIL INDUSTRIAL,0,0,0,0,0,0,,,,,1.0,,,
604,INGENIERIA CIVIL INDUSTRIAL,0,0,0,0,0,0,,,,,1.0,,,
605,INGENIERIA CIVIL INDUSTRIAL,7,0,0,0,5,11,:25:17:4:22:32,,,,1.0,,,
606,INGENIERIA CIVIL INFORMATICA,32,0,0,0,16,15,:25:17:4:26:29:23:0:22:10:3:42:7:32:13:18:35,,,,1.0,,,
607,INGENIERIA CIVIL INDUSTRIAL,0,0,0,0,0,0,,,,,1.0,,,
608,INGENIERIA CIVIL INDUSTRIAL,29,0,0,0,15,16,:25:17:4:26:29:0:22:10:3:42:7:32:13:18:35,,,,1.0,,,
609,INGENIERIA EN COMPUTACION E INFORMATICA,16,0,0,0,8,8,:25:17:4:26:29:23:32:13,,,,1.0,,,
610,INGENIERIA EN COMPUTACION E INFORMATICA,0,0,0,0,0,0,,,,,1.0,,,
611,INGENIERIA EN COMPUTACION E INFORMATICA,0,0,0,0,0,0,,,,,1.0,,,
612,INGENIERIA EN COMPUTACION E INFORMATICA,0,0,0,0,0,0,,,,,1.0,,,
613,INGENIERIA CIVIL INDUSTRIAL,0,0,0,0,0,0,,,,,1.0,,,
614,INGENIERIA CIVIL INDUSTRIAL,0,0,0,0,0,0,,,,,1.0,,,
615,INGENIERIA INDUSTRIAL,0,0,0,0,0,0,,,,,1.1,,,
616,INGENIERIA EN COMPUTACION E INFORMATICA,0,0,0,0,0,0,,,,,1.1,,,
617,INGENIERIA INDUSTRIAL,21,0,0,0,11,5,:25:17:4:29:23:0:22:10:3:42:35,,,,1.1,,,
